Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
ROYAL GUEST HOUSE,"351/8/A, RANKOTHVEHERA ROAD, NISSHANKAMALLAPURA, POLONNARUWA.",4,STANDARD,Polonnaruwa,Polonnaruwa,Thamankaduwa Divisional Secretariat,NULL,NULL
GALAHA TEA BUNGALOW,"GALAHA ESTATE BIG BUNGALOW,MORAGOLLA ROAD,GALAHA.",4,DELUXE,Kandy,Kandy,Delthota Divisional Secretariat,80.663933,7.203967
SANCTUARY,"VICTORIA GOLF COURSE,RAJAWELLA,DIGANA,KANDY.",4,DELUXE,Kandy,Kandy,Medadumbara Divisional Secretariat,NULL,NULL
THE STREAM,"PAHIYAN VALLEY,NIGGAHA,BULATHSINHALA.",3,DELUXE,Kalutara,Bulathsinhala Pradeshiya Sabha,Bulathsinhala Divisional Secretariat,NULL,NULL
VILLA ATULYA,"MUHUDU MAWATHA, WELIKADE, THALARAMBA, KAMBURUGAMUWA.",6,DELUXE,Matara,Weligama Pradeshiya Sabha,Weligama Divisional Secretariat,80.474229,5.937654
ALBANY NUWARA ELIYA,"11/4, UPPER LAKE ROAD, NUWARA ELIYA",4,DELUXE,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.773455,6.969254
KING FISHER LEISURE,"MALIMIYA WATTA,YADDEHIMULLA ROAD,UNAWATUNA,GALLE.",4,DELUXE,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.244339,6.008391
BENTOTA RIVER VILLA,"NO:72,MIHIRIPENNA ROAD,DHARGA TOWN - 12090",4,SUPERIOR,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat,NULL,NULL
LUMBINI LAGOON.,"MIRIHANAWATHTHA,KATHALUWA.AHANGAMA.",4,DELUXE,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.345444,5.987618
MIHIRI BEACH HOUSE,"SANUK HOLDING,MIHIRI BEACH HOUSE,MATARA ROAD,TALPE",4,DELUXE,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.265508,5.999711
VILLA GOODWILL PARADISE,"NO:5/23 B,PINKANDA ROAD,THIRANAGAMA,HIKKADUWA",5,SUPERIOR,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.115051,6.122144
BELPEAK COTTAGE,"BELPEAK COTTAGE, GALAGAMA, BELIHULOYA",2,STANDARD,Ratnapura,Ratnapura,Imbulpe Divisional Secretariat,80.768507,6.720504
SAKARA HOLIDAY BUNGALOW,"NO:55/7,RASIKA,VISHUDHARAMA MAWATHA,AHANGAMA",4,DELUXE,Galle,Habaraduwa,Galle Divisional Secretariat,80.373961,5.97099
ELYSIUM,"NO: 776/2, MATARA ROAD ,MIHIRIPENNA ,TALPE.",5,DELUXE,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.270811,5.998461
FAR HORIZONS VILLA,"FAR HORIZONS VILLA, UNAWATUNA KANDA, UNAWATUNA, GALLE",5,DELUXE,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,NULL,NULL
RAN DALU UYANA,"NO.370/8, COLOMBO ROAD, GORAKANA, KESELWATTA, MORATUWA",2,SUPERIOR,Kalutara,Moratuwa,Panadura Divisional Secretariat,NULL,NULL
RIVERINE COUNTRY HOUSE,"NO: 393 ,DUTUGEMUNU MAWATHE , MARWILMADU,KANDY",5,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,NULL,NULL
KANDA HOLIDAY BUNGALOW,"NO.104, PARADISE PARK, HANTANA, KANDY",3,SUPERIOR,Kandy,Gagawata Koralya,Gagawata,80.63132,7.279461
VILLA SAFIRA AYURVEDA RESIDENCE,"YALEGAMA, MIRISWATTE ROAD, GONAGALA, INDURUWA",4,DELUXE,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,NULL,NULL
PARADISE COTTAGE FINN BUNGALOWS,"NO.195 B/1, MEEWALADENIYA, HANDESSA",3,SUPERIOR,Kandy,Kandy,Ratmalana Divisional Secretariat,NULL,NULL
FIELD VILLA,"FIELD VIEW, KALAHE, WANCHAWELA, GALLE",4,DELUXE,Galle,Akmeemana,Akmeemana Divisional Secretariat,NULL,NULL
YALEGODA WALAUWA,"YALEGODA ESTATE, HANDESSA VIA PERADENIYA",4,DELUXE,Kandy,Udunuwara Pradeshiya Sabha,Udunuwara Divisional Secretariat,80.588479,7.24078
BAY BEACH BUNGALOW,"BAY BEACH HOTEL,GANDHI NAGAR,KUMBURUPITIYA,NILAVELI,TRINCOMALEE",5,SUPERIOR,Trincomalee,Kuchchaveli,Kuchchaveli Divisional Secretariat,81.172867,8.731013
